,,,7,4,,,,,,,,,,
,Services Master List - for Reference,,,,,,,,,,,,,
,Name of Service,Segment,Rows,Columns,PriceLines,Catalog,Data,,,,Lumpsum,,,
7,Rig Mob,PTP-Rig,0,0,,,,,,,,,,
8,Rig Inspection,PTP-Rig,0,0,,,,,,,,,,
9,Rig Move,PTP-Rig,0,0,,,,,,,,,,
10,Rig Camp,PTP-Rig,0,0,,,,,,,,,,
11,Rig Demob,PTP-Rig,0,0,,,,,,,,,,
12,Rig-1000_,PTP-Rig,0,0,,,,,,,,,,
13,Rig-1500,PTP-Rig,0,0,,,,,,,,,,
14,Rig-2000,PTP-Rig,0,0,,,,,,,,,,
15,Rigless,PTP-Other,0,0,,,,,,,,,,
16,Tubular Grease,PTP-Other,0,0,,,,,,,,,,
17,Tubular Inspection,PTP-Casing,0,0,,,,,,,,,,
18,Waste Disposal,PTP-Other,0,0,,,,,,,,,,
19,Water,PTP-Rig,0,0,,,,,,,,,,
20,Conductor Setting,PTP-Other,0,0,,,,,,,,,,
21,Casing,PTP-Casing,0,0,,,,,,,,,,
22,Tubing,PTP-Casing,0,0,,,,,,,,,,
23,Casing Services,PTP-CasingServices,0,0,,,,,,,,,,
24,Tubular Running,PTP-CasingServices,0,0,,,,,,,,,,
25,Csg Hwd,PTP-CsgHwd,0,0,,,,,,,,,,
26,Canters,PTP-CivilWorks,0,0,,,,,,,,,,
27,Civil Works,PTP-CivilWorks,0,0,,,,,,,,,,
28,Environmental Studies,PTP-CivilWorks,0,0,,,,,,,,,,
29,Miscelaneous Civil Work,PTP-CivilWorks,0,0,,,,,,,,,,
30,Communication,PTP-Other,0,0,,,,,,,,,,
31,Drilling Directional,PTP-DHT,0,0,,,,,,,,,,
32,Coring,PTP-Coring,0,0,,,,,,,,,,
33,DownholeTools,PTP-DHT,0,0,,,,,,,,,,
34,Fishing Tools TP,PTP-Other,0,0,,,,,,,,,,
35,Tubing Rental,PTP-DHT,0,0,,,,,,,,,,
36,Wellbore Cleaning Tools,PTP-DHT,0,0,,,,,,,,,,
37,Directional Survey,PTP-Survey,0,0,,,,,,,,,,
38,Plugs & Packers,PTP-Packers,0,0,,,,,,,,,,
39,Solids Control,PTP-SolidsControl,0,0,,,,,,,,,,
40,Wellhead TP,PTP-Wellhead,0,0,,,,,,,,,,
41,Wellhead Services TP,PTP-Wellhead,0,0,,,,,,,,,,
42,Fix Costs per Day,PTP-FixCostDay,0,0,,,,,,,,,,
43,Fix Costs per well,PTP-FixCostWell,0,0,,,,,,,,,,
44,Water Well,PTP-FixCostWell,0,0,,,,,,,,,,
45,Control Panel & Services,PTP-Facilities,0,0,,,,,,,,,,
46,Crane,PTP-Trucking,0,0,,,,,,,,,,
47,Diesel Trucking,PTP-Trucking,0,0,,,,,,,,,,
48,Forklift,PTP-Trucking,0,0,,,,,,,,,,
49,Fuel Trucking,PTP-Trucking,0,0,,,,,,,,,,
50,Tangibles Trucking ,PTP-Trucking,0,0,,,,,,,,,,
51,Trash & Vacuum Truck,PTP-Trucking,0,0,,,,,,,,,,
52,Trucks,PTP-Trucking,0,0,,,,,,,,,,
53,Trucks to Move Casing & Wellhead,PTP-Trucking,0,0,,,,,,,,,,
54,Water Truck,PTP-Trucking,0,0,,,,,,,,,,
55,Diesel,PTP-Other,0,0,,,,,,,,,,
56,Communication IT,PTP-Other,0,0,,,,,,,,,,
57,Supply Base/WareHouse (Storage),PTP-Other,0,0,,,,,,,,,,
58,Wharfage and Stevedoring (Storage),PTP-Other,0,0,,,,,,,,,,
59,Haulage / Freight,PTP-Other,0,0,,,,,,,,,,
60,Security,PTP-Security,0,0,,,,,,,,,,
61,Annex Adjustments,PTP-Annex,0,0,,,,,,,,,,
62,Bidding Costs,PTP-Bidding,0,0,,,,,,,,,,
63,Bonds,PTP-Bidding,0,0,,,,,,,,,,
64,Performance Bond-1500,PTP-Bidding,0,0,,,,,,,,,,
65,Performance Bond-2000,PTP-Bidding,0,0,,,,,,,,,,
66,Community Support,PTP-Community,0,0,,,,,,,,,,
67,Community Workers,PTP-Community,0,0,,,,,,,,,,
68,Financing Costs,PTP-Financing,0,0,,,,,,,,,,
69,TP Wireline Logging,PTP-CemWL,0,0,,,,,,,,,,
70,TP TCP Perf,PTP-CemWL,0,0,,,,,,,,,,
71,Training,PTP-Other,0,0,,,,,,,,,,
72,TP Cementing Services,PTP-CemWL,0,0,,,,,,,,,,
73,TP Cementing Products,PTP-CemWL,0,0,,,,,,,,,,
74,BOP,PTP-Rig,0,0,,,,,,,,,,
75,Pick-up truck,PTP-Trucking,0,0,,,,,,,,,,
76,,,0,0,,,,,,,,,,
77,Rig acceptance inspection,PTP-Rig,0,0,,,,,,,,,,
78,Security infrastructure ,PTP-Other,0,0,,,,,,,,,,
79,Pup Joints / Crossovers ,PTP-Other,0,0,,,,,,,,,,
80,Bucking services,PTP-Other,0,0,,,,,,,,,,
,Technical Risk Pot,PPP,0,0,,,,,,,,,,
,Commercial Risk Pot,PPP,0,0,,,,,,,,,,
,,,,,,,,,,,,,,
,,PTP-Annex,,,,,,,,,,,,
,,PTP-Bidding,,,,,,,,,,,,
,,PTP-Casing,,,,,,,,,,,,
,,PTP-CasingServices,,,,,,,,,,,,
,,PTP-Catering,,,,,,,,,,,,
,,PTP-CivilWorks,,,,,,,,,,,,
,,PTP-Comm,,,,,,,,,,,,
,,PTP-Community,,,,,,,,,,,,
,,PTP-CemWL,,,,,,,,,,,,
,,PTP-Coring,,,,,,,,,,,,
,,PTP-LetterCredit,,,,,,,,,,,,
,,PTP-CsgHwd,,,,,,,,,,,,
,,PTP-Dbits,,,,,,,,,,,,
,,PTP-DHT,,,,,,,,,,,,
,,PTP-Facilities,,,,,,,,,,,,
,,PTP-Financing,,,,,,,,,,,,
,,PTP-FixCostDay,,,,,,,,,,,,
,,PTP-FixCostWell,,,,,,,,,,,,
,,PTP-Freight,,,,,,,,,,,,
,,PTP-Fuel,,,,,,,,,,,,
,,PTP-HSE,,,,,,,,,,,,
,,PTP-Insurance,,,,,,,,,,,,
,,PTP-Mob,,,,,,,,,,,,
,,PTP-MPD,,,,,,,,,,,,
,,PTP-MudLogging,,,,,,,,,,,,
,,PTP-Other,,,,,,,,,,,,
,,PTP-Packers,,,,,,,,,,,,
,,PTP-Rig,,,,,,,,,,,,
,,PTP-Security,,,,,,,,,,,,
,,PTP-SolidsControl,,,,,,,,,,,,
,,PTP-Storage,,,,,,,,,,,,
,,PTP-Survey,,,,,,,,,,,,
,,PTP-Training,,,,,,,,,,,,
,,PTP-Trucking,,,,,,,,,,,,
,,PTP-WasteManagement,,,,,,,,,,,,
,,PTP-Wellhead,,,,,,,,,,,,
,,,,,,,,,,,,,,
,message 1,Unavailable,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
