ITEM,SERVICES REQUIRED,LINE ITEM UNIQUE CODE,PAYMENT METHOD,Total Time Units,APPLICABLE TOTAL TIME,SINGLE WELL QUANTITY,607 HYPOS SEV (P90),607 HYPOS CEV,768 HYPOS SEV (P90),768 HYPOS CEV,814 HYPOS SEV (P90),814 HYPOS CEV,WELL CLASSIFICATION,,
ZV.7,Running of kill string (without fuel),ZV.7>Running of kill string (without fuel),Lump Sum / Well,days,0.43000,1,15,15,15,15,15,15,ZUBAIR VERTICAL,,
ZV.8,Running of completion string (without fuel),ZV.8>Running of completion string (without fuel),Lump Sum / Well,days,3.53200,0,15,15,15,15,15,15,ZUBAIR VERTICAL,,
ZV.9,Wellhead and X-mas Tree installation service,ZV.9>Wellhead and X-mas Tree installation service,Lump Sum / Well,N/A,0.00000,1,15,15,15,15,15,15,ZUBAIR VERTICAL,,
ZD.1,Well Site Services (refer to note 1 below),ZD.1>Well Site Services (refer to note 1 below),Lump Sum / Well,N/A,43.73448,1,3,3,3,3,3,3,ZUBAIR DEVIATED,,131.20
ZD.2,32” drilling phase with preinstalled Conductor Pipe (without fuel) ,ZD.2>32” drilling phase with preinstalled Conductor Pipe (without fuel) ,Lump Sum / Meter / Phase,days/meter,0.00000,55,3,3,3,3,3,3,ZUBAIR DEVIATED,,
ZD.3,23” drilling phase (without fuel),ZD.3>23” drilling phase (without fuel),,days/meter,0.00623,675,3,3,3,3,3,3,ZUBAIR DEVIATED,,
ZD.4,"17 ½"" drilling phase (without fuel)","ZD.4>17 ½"" drilling phase (without fuel)",,days/meter,0.01007,1320,3,3,3,3,3,3,ZUBAIR DEVIATED,,
ZD.5,12 ¼” drilling phase (without fuel),ZD.5>12 ¼” drilling phase (without fuel),,days/meter,0.00981,1300,3,3,3,3,3,3,ZUBAIR DEVIATED,,
ZD.6,"8 ½"" drilling phase (without fuel)","ZD.6>8 ½"" drilling phase (without fuel)",,days/meter,0.02900,450,3,3,3,3,3,3,ZUBAIR DEVIATED,,
ZD.7,Running of kill string (without fuel),ZD.7>Running of kill string (without fuel),Lump Sum / Well,days,0.43000,1,3,3,3,3,3,3,ZUBAIR DEVIATED,,
ZD.8,Running of completion string (without fuel),ZD.8>Running of completion string (without fuel),Lump Sum / Well,days,3.61600,0,3,3,3,3,3,3,ZUBAIR DEVIATED,,
ZD.9,Wellhead and X-mas Tree installation service,ZD.9>Wellhead and X-mas Tree installation service,Lump Sum / Well,N/A,0.00000,1,3,3,3,3,3,3,ZUBAIR DEVIATED,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
